日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/5/10,金,三宮,14466,6357,21733,55,,,
2019/5/10,金,西神中央,6417,2923,7681,27,,,
2019/5/11,土,三宮,6886,3625,21352,88,,,
2019/5/11,土,西神中央,2628,1892,5347,43,,,
2019/5/12,日,三宮,5125,2331,17739,82,,,
2019/5/12,日,西神中央,1818,1072,4475,38,,,
2019/5/13,月,三宮,14113,6545,16338,43,,,
2019/5/13,月,西神中央,6421,2665,6661,40,,,
2019/5/14,火,三宮,14232,6634,17329,20,,,
2019/5/14,火,西神中央,6413,2930,6799,34,,,
2019/5/15,水,三宮,14025,6551,17915,31,,,
2019/5/15,水,西神中央,6326,2887,7023,21,,,
2019/5/16,木,三宮,14256,6708,17954,28,,,
2019/5/16,木,西神中央,6406,2977,7004,27,,,
2019/5/17,金,三宮,14351,6582,20716,45,,,
2019/5/17,金,西神中央,6396,2942,7429,30,,,
2019/5/18,土,三宮,6756,3733,19039,64,,,
2019/5/18,土,西神中央,2458,1586,5381,41,,,
2019/5/19,日,三宮,5536,2271,17936,79,,,
2019/5/19,日,西神中央,1799,793,4464,25,,,
2019/5/20,月,三宮,14171,6594,16232,25,,,
2019/5/20,月,西神中央,6370,2918,6465,27,,,
2019/5/21,火,三宮,14418,6708,17565,20,,,
2019/5/21,火,西神中央,6451,2988,6956,34,,,
2019/5/22,水,三宮,14053,6651,17657,29,,,
2019/5/22,水,西神中央,6419,2985,6956,25,,,
2019/5/23,木,三宮,14190,6760,17655,26,,,
2019/5/23,木,西神中央,6479,2975,7060,28,,,
2019/5/24,金,三宮,14255,6462,21469,38,,,
2019/5/24,金,西神中央,6396,2952,7526,26,,,
2019/5/25,土,三宮,6848,3826,18622,66,,,
2019/5/25,土,西神中央,2449,1642,5063,33,,,
2019/5/26,日,三宮,5387,2532,17377,87,,,
2019/5/26,日,西神中央,1860,1092,4283,27,,,
2019/5/27,月,三宮,14230,6620,16774,53,,,
2019/5/27,月,西神中央,6461,2913,6622,34,,,
2019/5/28,火,三宮,14412,6619,16990,14,,,
2019/5/28,火,西神中央,6424,2905,6443,32,,,
2019/5/29,水,三宮,14266,6571,18486,27,,,
2019/5/29,水,西神中央,6475,2938,6885,17,,,
2019/5/30,木,三宮,14592,6659,18563,22,,,
2019/5/30,木,西神中央,6557,2944,7152,29,,,
2019/5/31,金,三宮,14690,6444,21020,34,,,
2019/5/31,金,西神中央,6474,2796,7017,21,,,
2019/6/1,土,三宮,6583,3680,19864,42,,,
2019/6/1,土,西神中央,2442,1723,4961,29,,,
2019/6/2,日,三宮,5139,2698,17071,67,,,
2019/6/2,日,西神中央,1756,1309,3898,24,,,
2019/6/3,月,三宮,14416,6534,16387,89,,,
2019/6/3,月,西神中央,6600,2896,6666,40,,,
2019/6/4,火,三宮,14641,6547,16802,17,,,
2019/6/4,火,西神中央,6651,2922,6751,34,,,
2019/6/5,水,三宮,14332,6475,17453,24,,,
2019/6/5,水,西神中央,6556,2896,6872,22,,,
2019/6/6,木,三宮,14470,6559,17774,27,,,
2019/6/6,木,西神中央,6562,2918,6881,28,,,
2019/6/7,金,三宮,14163,6219,18698,31,,,
2019/6/7,金,西神中央,6330,2791,6743,30,,,
2019/6/8,土,三宮,6788,3483,17888,56,,,
2019/6/8,土,西神中央,2436,1698,5035,42,,,
2019/6/9,日,三宮,5211,2504,16610,70,,,
2019/6/9,日,西神中央,1761,1109,3875,40,,,
2019/6/10,月,三宮,14175,6477,16485,41,,,
2019/6/10,月,西神中央,6424,2833,6554,42,,,
2019/6/11,火,三宮,14481,6635,17083,22,,,
2019/6/11,火,西神中央,6552,2934,6934,39,,,
2019/6/12,水,三宮,14247,6530,17884,26,,,
2019/6/12,水,西神中央,6552,2956,6946,24,,,
2019/6/13,木,三宮,14454,6630,18394,28,,,
2019/6/13,木,西神中央,6589,2937,7000,27,,,
2019/6/14,金,三宮,14202,6438,21017,48,,,
2019/6/14,金,西神中央,6185,2924,7025,26,,,
2019/6/15,土,三宮,6486,3488,16856,61,,,
2019/6/15,土,西神中央,2300,2067,4293,33,,,
2019/6/16,日,三宮,5315,2609,17470,112,,,
2019/6/16,日,西神中央,1798,1312,4302,22,,,
2019/6/17,月,三宮,14354,6402,17243,57,,,
2019/6/17,月,西神中央,6496,2323,6628,41,,,
2019/6/18,火,三宮,14560,6564,17481,28,,,
2019/6/18,火,西神中央,6600,2915,6969,39,,,
2019/6/19,水,三宮,14277,6441,17964,37,,,
2019/6/19,水,西神中央,6548,2920,7000,24,,,
2019/6/20,木,三宮,14692,6587,18522,34,,,
2019/6/20,木,西神中央,6627,2918,7041,30,,,
